GEO.id,GEO.id2,GEO.display-label,popchg4201072018,natinc4201072018,births4201072018,deaths4201072018,netmig4201072018,intlmig4201072018,dommig4201072018,popchg20172018,natinc20172018,births20172018,deaths20172018,netmig20172018,intlmig20172018,dommig20172018
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - Domestic"
0400000US01,01,Alabama,107733,65595,484329,418734,42748,37551,5197,12751,3791,57216,53425,9062,3344,5718
0400000US02,02,Alaska,27189,57767,92762,34995,-31287,17792,-49079,-2348,5955,10693,4738,-8351,2401,-10752
0400000US04,04,Arizona,779358,269300,703872,434572,508013,145998,362015,122770,24744,83550,58806,97575,14335,83240
0400000US05,05,Arkansas,97797,63009,314960,251951,34163,25253,8910,10828,6098,37191,31093,4735,2260,2475
0400000US06,06,California,2302522,1984436,4078895,2094459,333168,1043561,-710393,157696,196471,477145,280674,-38271,117797,-156068
0400000US08,08,Colorado,666248,254332,543471,289139,406752,84970,321782,79662,27882,66249,38367,51500,8207,43293
0400000US09,09,Connecticut,-1482,51402,298938,247536,-52931,122999,-175930,-1215,3736,35048,31312,-5015,16494,-21509
0400000US10,10,Delaware,69237,21756,90864,69108,47568,14957,32611,10093,1402,10709,9307,8678,1820,6858
0400000US11,11,District of Columbia,100689,37651,78391,40740,61805,32265,29540,6764,4104,9788,5684,2656,3592,-936
0400000US12,12,Florida,2494745,252109,1801326,1549217,2232735,1072348,1160387,322513,13323,221488,208165,308272,175670,132602
0400000US13,13,Georgia,830766,439694,1074297,634603,387595,182190,205405,106420,42761,127649,84888,63700,21786,41914
0400000US15,15,Hawaii,60184,61529,152292,90763,-549,55050,-55599,-3712,4666,17326,12660,-8355,4075,-12430
0400000US16,16,Idaho,186551,83657,186921,103264,102127,16562,85565,35304,9423,22412,12989,25776,1681,24095
0400000US17,17,Illinois,-90492,428467,1294578,866111,-519943,241894,-761837,-45116,38025,148117,110092,-83419,30735,-114154
0400000US18,18,Indiana,207817,184780,685293,500513,25243,80287,-55044,31796,19211,81075,61864,12782,9227,3555
0400000US19,19,Iowa,109273,83182,320992,237810,26463,48288,-21825,12508,9614,38417,28803,2942,5828,-2886
0400000US20,20,Kansas,58379,109563,320372,210809,-50988,45473,-96461,816,11365,36637,25272,-10507,2057,-12564
0400000US21,21,Kentucky,129069,86975,456319,369344,42993,54633,-11640,14528,8025,53803,45778,6614,5816,798
0400000US22,22,Louisiana,126493,159675,516732,357057,-34167,41559,-75726,-10840,14085,60341,46256,-24902,3012,-27914
0400000US23,23,Maine,10035,-7412,104761,112173,18302,10343,7959,3341,-1641,12438,14079,5039,570,4469
0400000US24,24,Maryland,268920,216174,600546,384372,55763,192345,-136582,17827,19845,71029,51184,-1943,22575,-24518
0400000US25,25,Massachusetts,354359,134187,592466,458279,224482,351069,-126587,38903,11791,70297,58506,27258,53013,-25755
0400000US26,26,Michigan,111798,166054,933558,767504,-53152,189665,-242817,19468,15062,110676,95614,4649,21415,-16766
0400000US27,27,Minnesota,307254,228289,570171,341882,81671,107830,-26159,43024,25770,68617,42847,17487,10718,6769
0400000US28,28,Mississippi,18412,64618,316072,251454,-46825,18614,-65439,-3133,4963,36319,31356,-8069,2749,-10818
0400000US29,29,Missouri,137500,139750,617794,478044,-331,59677,-60008,17840,12683,72508,59825,5287,8077,-2790
0400000US30,30,Montana,72896,22656,100933,78277,49992,6640,43352,9215,2324,12050,9726,6876,889,5987
0400000US31,31,Nebraska,102963,85715,216048,130333,17767,33765,-15998,11693,10334,25899,15565,1391,4705,-3314
0400000US32,32,Nevada,333713,110903,294505,183602,221704,30103,191601,61987,11001,36042,25041,50696,3100,47596
0400000US33,33,New Hampshire,39994,9075,102554,93479,31684,24869,6815,6691,214,12149,11935,6534,2606,3928
0400000US34,34,New Jersey,116558,256493,852207,595714,-140088,302522,-442610,19977,23856,100226,76370,-3931,46660,-50591
0400000US35,35,New Mexico,36248,70950,213795,142845,-34628,27423,-62051,2033,5605,23803,18198,-3509,2342,-5851
0400000US36,36,New York,164085,689016,1954011,1264995,-523216,674384,-1197600,-48510,61371,227099,165728,-109931,70375,-180306
0400000US37,37,North Carolina,847884,282498,990630,708132,560003,157614,402389,112820,25724,118784,93060,87026,20035,66991
0400000US38,38,North Dakota,87501,36744,87442,50698,49192,13264,35928,4901,4656,10869,6213,218,2597,-2379
0400000US39,39,Ohio,152685,191951,1138227,946276,-35269,169396,-204665,25313,17375,134734,117359,8368,20514,-12146
0400000US40,40,Oklahoma,191496,114538,433393,318855,76774,52615,24159,10439,10728,50778,40050,-202,4272,-4474
0400000US41,41,Oregon,359638,91340,374486,283146,267949,61237,206712,44121,9114,45166,36052,34996,8177,26819
0400000US42,42,Pennsylvania,104187,89641,1160725,1071084,22862,259739,-236877,16613,2343,135905,133562,14914,35377,-20463
0400000US44,44,Rhode Island,4358,9304,89601,80297,-4624,31873,-36497,829,745,10575,9830,116,2755,-2639
0400000US45,45,South Carolina,458746,96014,471964,375950,359822,45047,314775,62908,6462,56238,49776,56265,5490,50775
0400000US46,46,South Dakota,68037,38522,99830,61308,29312,16801,12511,8949,4650,11943,7293,4297,3659,638
0400000US47,47,Tennessee,423724,132563,662136,529573,290164,70779,219385,61216,12215,79474,67259,48946,8994,39952
0400000US48,48,Texas,3555731,1710031,3221263,1511232,1832775,813341,1019434,379128,190951,391451,200500,187545,104976,82569
0400000US49,49,Utah,397214,284783,420885,136102,113137,46555,66582,57987,32968,50124,17156,25019,8967,16052
0400000US50,50,Vermont,555,2513,48976,46463,-1566,8548,-10114,1774,12,5599,5587,1788,1850,-62
0400000US51,51,Virginia,516630,314663,843184,528521,200978,263741,-62763,52478,30750,99570,68820,21810,31641,-9831
0400000US53,53,Washington,811051,294090,729978,435888,516914,221434,295480,110159,32927,90495,57568,77106,30557,46549
0400000US54,54,West Virginia,-47169,-19169,163804,182973,-27508,7492,-35000,-11216,-4541,18010,22551,-6643,386,-7029
0400000US55,55,Wisconsin,126286,140565,551536,410971,-11715,58966,-70681,21517,14656,64939,50283,7040,8051,-1011
0400000US56,56,Wyoming,13964,23021,61495,38474,-9463,3049,-12512,-1197,1893,6840,4947,-3089,597,-3686
0400000US72,72,Puerto Rico,-531004,34247,278334,244087,-565251,-565251,(X),-129848,-6449,24322,30771,-123399,-123399,(X)
